where do you live,kanin tinemi
thin,pitzahuac
pig,pitzotl
merchant,pochtecatl
smoke,poctli
to count,pohua
to smoke,popoca
to stink,potoni
yes,quema
how,quenin
how did it go,quenin otimohuicac
how much,quezqui
how many,quezqui
it is said,quilmach
mouse,quimichin
recently,quin axcan
later,quin tepan
to rain,quiyahui
rain,quiyahuitl
to go out,quiza
migration,quizaliztli
father,tahtli
tamal,tamalli
you,te
we,tech
to grind,teci
owl,tecolotl
wild beast,tecuani
lord,tecuhtli
we,tehuan
why,Teica
but,tel
college,telpochcalli
boy,telpochtli
teacher,temachtiani
horrible,temamauhti
steam bath,temazcalli
to descend,temo
to look for,temoa
temptation,teneyeyecoitiliztli
to breakfast,teniza
to kiss,tennamiqui
lip,tentli
moustache,tentzontli
temple,teocalli
gold,teocuitlatl
priest,teopixqui
wonderful,teotl
afternoon,teotlac
doctor,tepahtiani
hill,tepec
conquistador,tepehuani
at the hill,tepepan
mountain,tepetl
to worry,tequipachoa
to work,tequipanoa
stone,tetl
tejocote,texocotl
tejocote jam,texocotzopelloti
you,ti
doctor,ticitl
to send,titlani
afternoon,tlaca
to procreate,tlacachihua
to obey,tlacamati
obeyance,tlacamatli
devil,tlacatecolotl
to get pregnant,tlacatilia
person,tlacatl
to look,tlachia
to sweep,tlachpana
to eat,tlacua
kitchen,tlacualchihualoyan
food,tlacualli
diner,tlacualoyan
to feed,tlacualtia
offense,tlahtlacolli
uncle,tlahtli
to talk,tlahtoa
king,tlahtoani
kingdom,tlahtocayotl
language,tlahtolli
nobles,tlahtoque
light,tlahuilli
to put,tlalia
at or on the earth,tlalticpac
pupil,tlamachtilli
to swim,tlamaneloa
wise person,tlamatini
to finish,tlami
dawn,tlaneci
will,tlanequiliztli
tooth,tlantli
sad,tlaocoya
corn,tlaolli
to greet,tlapaloa
to go to greet someone,tlapalotiuh
to open,tlapoa
to forgive,tlapopolhuia
clothes,tlaquemitl
dawn,tlathui
to burn,tlatla
to offense,tlatlacalhuia
to ask,tlatlani
firewood,tlatlatilcuahuitl
patrimony,tlatquitl
door,tlatzacuillotl
to meow,tlatzomia
to make tortillas,tlaxcalchihua
tortillas,tlaxcalli
to make bread,tlaxcalmana
to bring down,tlaza
thanks,tlazocamati
to love,tlazohtla
garbage,tlazolli
why not,tle inic amo
why,tle ipampa
why,tleca
to climb,tleco
stove,tlecuil
on the stove,tlecuilco
stove,tlecuilli
what,tlen
fire,tletl
to sow,toca
to bury,toca
name,tocaitl
spider,tocatl
rabbit,tochtli
wise one,toltecatl
day,tonalli
to hurt,tonehua
we need,totechmonequi
chicken soup,totolayotl
turkey,totolin
bird,tototl
throat,tozquitl
to scream,tzatzi
head,tzontecomatl
hair,tzontli
sweet,tzopelic
face,xayacatl
herb,xihuitl
seed,xinachtli
bag,xiquipiltontli
tomato,xitomatl
the smallest,xocoyotzin
onion,xonacatl
get in,xoncalaqui
green,xoxoctic
nose,yacatl
new,yancuic
to go,yauh
ready,ye
it's late,ye tlaca
he,ye
right side,yec
to understand,yeccaqui
though,yeceh
to bless,yectenehua
good,yectli
they,yehuan
three,yei
it's night,yetiayohuac
night,yohuac
at night,yohualtica
insect,yolcatl
to live,yoli
heart,yollotl
to be happy,yolpaqui
like this,yuhquin
right away,zan niman
just a little,zan tepitzin
later,zatepan
lastly,zatlatzonco
fly insect,zayolin
story,zazanilli
codorniz,zolin
in the mud,zoquipan
mud,zoquitl
muddy,zoquiyo
aca,somebody
acattopa,first
achi miecpa,frequently 
achto,first 
achtontli,greatgrandfather
achtopa,firstly
aci,to arrive 
acicamati,to understand 
acicamatl,to understand 
ahuitl,aunt 
aic,never
altepepan,at the city 
altepetl,city
amantecatl,artisan
amatl,paper
amazolli,old paper
amehuan,you
ameyalli,fountain
amini,hunter
amiqui,thirsty 
amo,no
amo cualli,bad
amo,not 
amotlein,nothing 
amoxcalli,library
amoxtli,book
an,you
ana,to take
aocmo,not any more
aocmo huecauh,in a moment
apizmiqui,famine
aquimamatcayoti,stuborness
aquin,who 
aquique,who all
atenemachpan,suddenly 
atl,water
atiacuihuayan,artesian well
atli,to drink water
atolli,atole
atonahui,fever
auh,and
axihuayan,hotel
axiltia,to accompany
axiltia,to complete
axitia,to get close
axixcalli,restroom  
axixmiqui,to have the need to go to the restroom
ayamo,not yet
ayaxcanyotica,slowly
ayohui,easyly
ayotl,turtle
azcatl,ant
azo zan,perhaps  
cã­huatl,woman
ca,to be
ca ye cualli,all right
cahua,to leave 
cahuitl,time
calacoayan,door
calaqui,to come in
calli,house
calmanani,architect
calpolli,tribe
caltentli,door
camachaloa,to open one's mouth
camactli,mouth
camanallahtoa,to joke
camapaca,to wash one's mouth
camapotoniliztli,bad breath
camatl,mouth
campa,where  
can,where 
caqui,to hear
catca,was
caxtiltecatl,spaniard
caxtolli omei,eighteen
caxtolli once,sixteen
ce,one
ce,one of  
cecemilhuitica,daily
cemanahuatl,world
cemiac,always
cempanahuia,to exceed
cempoalli,twenty
cenca,very
cenca cualli,very well 
cenquizca,perfectly
cenyohual,all night
chantli,house
chia,to wait
chicahuac,healthy
chicnahui,nine
chicoace,six
chicome,seven
chicuey,eight
chihua,to do
chihuilia,to do 
chipahua,to clean
chiquihuitl,basquet
choca,to cry
chocolatl,chocolate
choloa,to flee
choquilia,to cry
choquilitzatzi,to cry
choquiltia,to make someone cry
ciciammicqui,tired
cihtli,grandmother
cihuapillahtocatzintli,queen
cihuapilli,lady
citialin,star
ciyahui,to get tired
coatl,snake
cochcahua,to let sleep
cochcayotl,dinner
cochehua,to awake
cochi,to sleep
cochiantli,dormitory
cochihuayan,bedroom
cochitlehua,to dream
cochitta,to dream
cochmiqui,sleepy
cocoa,to hurt  
cococ,hot
cocotona,to dismember
cocoxcacalli,hospital
cocoxcacalpan,at the hospital
cocoxqui,sick
cohua,to buy
colli,grandfather
coloti,scorpion
comalli,flat pan  
comitl,cooking pot
conetl,child
coni,to drink
copina,to extract
cotona,to cut
cua,to eat
cuacuahuitl,horn
cuahuitl,tree
cuaitl,head
cualli,good  
cualli ic,good  
cuallotl,goodness
cuauhmaitl,branch
cuauhmayoh,that has branches
cuauhtla,woods
cueitl,skirt
cueponi,to grow
cueyatl,frog
cuica,to sing
cuicani,singer
cuicatl,song
cuico,singing
cuicoa,singing
cuicuizcati,swallow 
cuix,maybe
cuix ye huecanh,has it been long 
eiehuia,to wish
etl,beans
hualhuica,to bring
huallauh,to come
hualmonochilia,to call 
hualquiztia,to go out
hualtepotztoca,to follow 
hueca,far
huecauhtica,for a while
huehca,far
huehue,old
huehuetlahtolli,old word
hueitlamahuizoltica,wonderfully
huel,right
huelic,tasty
hueltiuhtli,sister
huetzca,to laugh
huetzi,to fall down
huexolotl,turkey
huica,to take  
huilotl,pigeon
huiptla,the day after tomorrow
huitzitzilin,hummingbird
i,to drink
ic,that's why
ica,with
ica paquiliztli,gladly
icalixpan,in front of someone's home
ichantzinco,in someone's home
ichcatl,lamb
ichpochtli,young woman
iciuhca,quickly
icniuhtli,brother
icnotl,poor
icpalli,chair
icuac,when
icuitlapan,behind
icxitl,foot
ihcuiloa,to write
ihcuilotic,it is written that
ihtoa,to talk
ihuan,and
ihuicpa,from
ilhuia,to tell
ilhuicatl,sky
imacaci,to fear
in aquin,the one who  
in canin,where
in ihuicpa,from
in oquic,while
in oyuh,once that  
in quenin,how
in tiein,the one that
in xochtl in cuicatl,poetry
in yuh,like
inech  monequi,it's necessary
inin,this
iniquein,these
iniqueon,those
inon,that
intia,if
intzalan,between
ipan,on
itech calli,inside the house
ititl,belly
itqui,to take
itquin,when 
itta,to see
itzcuintli,dog
ixcueloa,to nod 
ixmati,to know
ixquich,every
ixtelolotl,eye
izcatqui,here is 
iztac,white
iztitl,finger nail
ma,to hunt
ma xipatinemi,may you be well
maca,to give
macamo,negation
macehualli,commoner
machiotil signal,reverential: machiotzintli
machtia,to teach
macuilli,five
macuilli ic,fifth
maitl,hand
maiahua,to slip
maquixtia,to save
mati,to know
matlactli,ten
mauhcatlayecoani,coward
maxitia,to come closer
mayana,hunger
mazatl,deer
mehua,to get up
melahuac,straight
metlatl,grinding stones
metzli,herb
meztli moon,month
mexicatl,mexican
michin,fish
mictia,to kill
mihtoa,it is said that
millacatl,farmer
miqui,to die
miztli,puma
mizton,cat
mocactia,to put shoes on
mocahuilia,to leave 
mocehuia,to rest
mochantia,to reside
mochi,everything
mochihua,to happen 
mochihua,to become
mochipa,always
mocochcayotia,to dine
mococoa,to be sick
mocuepa,to transform oneself
mohuelmati,to feel good
molcaxitl,grinding stone 
momaquilia,to give
momaquixtilia,to free
momatequia,to wash one's hands
momauhtia,to be frightened
momayahui,to throw oneself
momotzoa,to rub
momoztlae,daily
monamictia,to marry
monequiltia,to love
mopopolhuilia,to forgive
moquetza,to stand up
motenehua,one's name
motlalia,sit on
motlaquentia,to get dressed
motlatoa,to run
moyetztica,to be
moztla,tomorrow 
nacatl,meat
nacayotl,body
nacaztli,ear
nahualli,warlock
nahuatia,to command
nahuatlahtolli,nahuatl language
nahuatlatoltica,in nahuatl language
nahui,four
nalquiza,to pass
namaca,to sell
namictli,husband
nanquilia,to answer
nantli,mother
ne,i
nech,to me
neci,to appear 
nehnemi,to walk
nelhuayotl,root
nemachtiloyan,school
nemi,to live
nenepilli,tongue
nequi,to want
ni,i
nican,here
niltze,hello 
niman,later
nimanic,right away
nimitzittaz,i'll see you
nixtamalli,corn paste for tortillas or tamales
no,also
nocenyeliz,my family
nochtli,cactus 
nohuan,with me
nohuican,also
noihuan,also
notza,to call someone
notzontecon,my head
noyuhqui,also
nozo,or
oc,still
oc achi,more
oc cequi,another
oc yohuatzinco,very early
occe,another
occe tlamantli,something else
occepa,again
occequi,another
ocelotl,jaguar
ocnamacoyan,bar
ocuilin,worm
ohtli,road
ohualla,came
ome,two
ompa,there
oni,to drink
onimitzittac,i saw you
onimitzittacca,i had seen you
opoch,left side
oquichtli,male
otiacicoh,we have arrived
oztotl,cave
oztoc,in the cave
paca,to wash
pactia,to please
pahcalli,drugstore
pahpiani,pharmacist
pahti,to cure
pahtia,to cure
pahtli,medicine
palehuia,to help
paltic,wet
panoltia,to invite someone in
papaca,to wash
papalotl,butterfly
papatlaca,to tremble
paqui,to be happy
patlani,to fly
patzca,to squeeze
pehua,to start
pehua,to win
petlatl,bed
pilli,son
pilli,noble
piltzintli,son
pitzahuac,thin
pitzotl,pig
pochtecatl,merchant
poctli,smoke
pohua,to count
popoca,to smoke
potoni,to stink
quema,yes
quenin,how  
quenin otimohuicac,how did it go
quezqui,how much
quezqui,how many
quilmach,it is said
quimichin,mouse
quin axcan,recently
quin tepan,later
quiyahui,to rain
quiyahuitl,rain
quiza,to go out
quizaliztli,migration
tahtli,father
tamalli,tamal
te,you
tech,we
teci,to grind
tecolotl,owl
tecuani,wild beast
tecuhtli,lord
tehuan,we
teica,why 
tel,but
telpochcalli,college
telpochtli,boy
temachtiani,teacher
temamauhti,horrible
temazcalli,steam bath
temo,to descend
temoa,to look for
teneyeyecoitiliztli,temptation
teniza,to breakfast
tennamiqui,to kiss
tentli,lip
tentzontli,moustache
teocalli,temple
teocuitlatl,gold  
teopixqui,priest
teotl,wonderful
teotlac,afternoon
tepahtiani,doctor
tepec,hill
tepehuani,conquistador
tepepan,at the hill
tepetl,mountain
tequipachoa,to worry
tequipanoa,to work
tetl,stone
texocotl,tejocote 
texocotzopelloti,tejocote jam
ti,you 
ticitl,doctor
titlani,to send
tlaca,afternoon
tlacachihua,to procreate
tlacamati,to obey
tlacamatli,obeyance
tlacatecolotl,devil
tlacatilia,to get pregnant
tlacatl,person
tlachia,to look
tlachpana,to sweep
tlacua,to eat
tlacualchihualoyan,kitchen
tlacualli,food
tlacualoyan,diner
tlacualtia,to feed
tlahtlacolli,offense
tlahtli,uncle
tlahtoa,to talk
tlahtoani,king
tlahtocayotl,kingdom
tlahtolli,language
tlahtoque,nobles
tlahuilli,light
tlalia,to put
tlalticpac,at or on the earth
tlamachtilli,pupil
tlamaneloa,to swim
tlamatini,wise person
tlami,to finish
tlaneci,dawn
tlanequiliztli,will
tlantli,tooth
tlaocoya,sad
tlaolli,corn
tlapaloa,to greet
tlapalotiuh,to go to greet someone
tlapoa,to open
tlapopolhuia,to forgive
tlaquemitl,clothes
tlathui,dawn
tlatla,to burn
tlatlacalhuia,to offense
tlatlani,to ask 
tlatlatilcuahuitl,firewood
tlatquitl,patrimony
tlatzacuillotl,door
tlatzomia,to meow
tlaxcalchihua,to make tortillas
tlaxcalli,tortillas
tlaxcalmana,to make bread
tlaza,to bring down
tlazocamati,thanks
tlazohtla,to love
tlazolli,garbage
tle inic amo,why not 
tle ipampa,why 
tleca,why 
tleco,to climb
tlecuil,stove
tlecuilco,on the stove
tlecuilli,stove
tlen,what
tletl,fire
toca,to sow
toca,to bury
tocaitl,name
tocatl,spider
tochtli,rabbit
toltecatl,wise one
tonalli,day
tonehua,to hurt
totechmonequi,we need
totolayotl,chicken soup
totolin,turkey
tototl,bird
tozquitl,throat
tzatzi,to scream
tzontecomatl,head
tzontli,hair
tzopelic,sweet
xayacatl,face
xihuitl,herb
xinachtli,seed
xiquipiltontli,bag
xitomatl,tomato
xocoyotzin,the smallest
xonacatl,onion
xoncalaqui,get in
xoxoctic,green
yacatl,nose
yancuic,new
yauh,to go
ye,ready
ye tlaca,it's late
ye,he
yec,right side
yeccaqui,to understand
yeceh,though
yectenehua,to bless
yectli,good
yehuan,they
yei,three
yetiayohuac,it's night
yohuac,night
yohualtica,at night
yolcatl,insect
yoli,to live
yollotl,heart
yolpaqui,to be happy
yuhquin,like this
zan niman,right away
zan tepitzin,just a little
zatepan,later
zatlatzonco,lastly
zayolin,fly insect
zazanilli,story
zolin,codorniz
zoquipan,in the mud
zoquitl,mud
zoquiyo,muddy
